Datetime UTC,Site name,Recover folder,AudioMoth #,SD card #,File path,File metadata,File status,Audiomoth temperature,Audiomoth battery,Sample rate,Audiomoth artist ID,File duration,Deployment notes,Sum Rain,Mean Wind Speed,Month,Condition,Sliced File Path
2022-07-22 11:00:00,Carp Pond,recover-20220722,E,014,/mnt/ubna_data_01/recover-20220722/UBNA_014/20220722_110000.WAV,Recorded at 11:00:00 22/07/2022 (UTC) by AudioMoth 249BC30461CBE95C at medium gain while battery was 3.6V and temperature was 21.5C.,Usable for detection,21.5C,3.6V,250000,AudioMoth 249BC30461CBE95C,1795,Case,0.0,11.609677419354844,7,Extreme Wind,ubna_data_01/recover-20220722/UBNA_014/20220722_110000.WAV
2022-07-30 01:30:00,Carp Pond,recover-20220801,A,004,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_013000.WAV,Recorded at 01:30:00 30/07/2022 (UTC) by AudioMoth 24F3190361CBE990 at medium gain while battery was 4.0V and temperature was 40.7C.,Usable for detection,40.7C,4.0V,192000,AudioMoth 24F3190361CBE990,1795,Double Battery Pack; Ziploc Bag; Recording when recovered,0.0,7.990322580645162,7,Normal,ubna_data_01/recover-20220801/UBNA_004/20220730_013000.WAV
2022-08-13 02:30:00,Carp Pond,recover-20220815,A,005,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220813_023000.WAV,Recorded at 02:30:00 13/08/2022 (UTC) by AudioMoth 24F3190361CBE990 at medium gain while battery was 4.0V and temperature was 30.6C.,Usable for detection,30.6C,4.0V,192000,AudioMoth 24F3190361CBE990,1795,Double Battery Pack; Ziploc Bag; Pond is receding,0.0,11.203225806451613,8,Extreme Wind,ubna_data_01/recover-20220815/UBNA_005/20220813_023000.WAV
2022-08-24 01:00:00,Carp Pond,recover-20220825,C,004,/mnt/ubna_data_01/recover-20220825/UBNA_004/20220824_010000.WAV,Recorded at 01:00:00 24/08/2022 (UTC) by AudioMoth 24F319055FDF2F5B at medium gain while battery was 4.0V and temperature was 32.0C.,Usable for detection,32.0C,4.0V,192000,AudioMoth 24F319055FDF2F5B,1795,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime; Pond continuing to recede,0.0,8.448387096774193,8,Normal,ubna_data_01/recover-20220825/UBNA_004/20220824_010000.WAV
2022-09-22 13:30:00,Carp Pond,recover-20220922,D,4,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_133000.WAV,Recorded at 13:30:00 22/09/2022 (UTC) by AudioMoth 249BC30461CBE637 at medium gain while battery was 3.8V and temperature was 20.6C.,Usable for detection,20.6C,3.8V,192000,AudioMoth 249BC30461CBE637,1795.00127083333,Panasonic; Temperatures have begun dropping as we enter Fall season,0.0,11.148387096774197,9,Extreme Wind,ubna_data_02/recover-20220922/UBNA_004/20220922_133000.WAV
2022-09-11 15:30:00,Carp Pond,recover-20220912,D,10,/mnt/ubna_data_02/recover-20220912/UBNA_010/20220911_153000.WAV,Recorded at 15:30:00 11/09/2022 (UTC) by AudioMoth 249BC30461CBE637 at medium gain while battery was 3.9V and temperature was 25.0C.,Usable for detection,25.0C,3.9V,192000,AudioMoth 249BC30461CBE637,1795.00127083333,Ikea; Deployed during Bolt Creek wildfire on 2022-09-10,0.0,7.161290322580644,9,Normal,ubna_data_02/recover-20220912/UBNA_010/20220911_153000.WAV
2022-10-31 04:00:00,Carp Pond,recover-20221110,D,10,/mnt/ubna_data_02/recover-20221110/UBNA_010/20221031_040000.WAV,Recorded at 04:00:00 31/10/2022 (UTC) by AudioMoth 249BC30461CBE637 at medium gain while battery was 4.0V and temperature was 15.5C.,Usable for detection,15.5C,4.0V,192000,AudioMoth 249BC30461CBE637,300.001270833333,IKEA,0.01,13.216129032258065,10,Extreme Wind and Rain,ubna_data_02/recover-20221110/UBNA_010/20221031_040000.WAV
2022-10-04 07:30:00,Carp Pond,recover-20221006,D,4,/mnt/ubna_data_02/recover-20221006/UBNA_004/20221004_073000.WAV,Recorded at 07:30:00 04/10/2022 (UTC) by AudioMoth 249BC30461CBE637 at medium gain while battery was 4.0V and temperature was 18.7C.,Usable for detection,18.7C,4.0V,192000,AudioMoth 249BC30461CBE637,1795.00127083333,IKEA,0.0,5.187096774193549,10,Normal,ubna_data_02/recover-20221006/UBNA_004/20221004_073000.WAV
2022-11-26 00:00:00,Carp Pond,recover-20221208,D,10,/mnt/ubna_data_02/recover-20221208/UBNA_010/20221126_000000.WAV,Recorded at 00:00:00 26/11/2022 (UTC) by AudioMoth 249BC30461CBE637 at medium gain while battery was 4.0V and temperature was 8.0C.,Usable for detection, 8.0C,4.0V,192000,AudioMoth 249BC30461CBE637,300.001270833333,Panasonic,0.01,7.803225806451613,11,Extreme Rain,ubna_data_02/recover-20221208/UBNA_010/20221126_000000.WAV
2022-11-11 14:30:00,Carp Pond,recover-20221123,D,4,/mnt/ubna_data_02/recover-20221123/UBNA_004/20221111_143000.WAV,Recorded at 14:30:00 11/11/2022 (UTC) by AudioMoth 249BC30461CBE637 at medium gain while battery was 4.2V and temperature was 5.8C.,Usable for detection, 5.8C,4.2V,192000,AudioMoth 249BC30461CBE637,300.001270833333,IKEA,0.0,4.748387096774194,11,Normal,ubna_data_02/recover-20221123/UBNA_004/20221111_143000.WAV
