Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
3.2045	3.2211	22890.0	27318.0	Nyctalus leisleri	0.382	0.503	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
18.8095	18.8182	40937.0	47141.0	Pipistrellus nathusii	0.469	0.572	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
19.0955	19.1054	40937.0	47719.0	Pipistrellus nathusii	0.445	0.548	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
19.3395	19.3471	42656.0	49456.0	Pipistrellus nathusii	0.476	0.552	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
19.5315	19.54	40078.0	46707.0	Pipistrellus nathusii	0.462	0.57	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
19.8125	19.8205	41796.0	50308.0	Pipistrellus nathusii	0.529	0.613	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
20.1035	20.1119	40937.0	49204.0	Pipistrellus nathusii	0.512	0.577	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
20.3845	20.3948	41796.0	54537.0	Pipistrellus nathusii	0.374	0.503	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
20.5775	20.5857	40937.0	53045.0	Pipistrellus nathusii	0.525	0.6	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
20.7745	20.7827	41796.0	49722.0	Pipistrellus nathusii	0.534	0.606	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
21.0545	21.0649	40937.0	52790.0	Pipistrellus nathusii	0.425	0.528	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
21.3355	21.3452	41796.0	54260.0	Pipistrellus nathusii	0.414	0.57	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
21.6225	21.6316	40078.0	49127.0	Pipistrellus nathusii	0.491	0.601	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
21.7285	21.7382	40078.0	49062.0	Pipistrellus nathusii	0.517	0.625	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
22.4125	22.4215	40937.0	47422.0	Pipistrellus nathusii	0.451	0.546	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
30.0415	30.0568	22890.0	27349.0	Nyctalus leisleri	0.345	0.523	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
55.1665	55.1836	22890.0	26689.0	Nyctalus leisleri	0.478	0.579	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
60.8035	60.8198	23750.0	29719.0	Nyctalus leisleri	0.32	0.533	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
61.4645	61.4813	23750.0	28736.0	Nyctalus leisleri	0.336	0.522	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
62.6915	62.71	23750.0	27775.0	Nyctalus leisleri	0.462	0.546	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
63.2375	63.253	23750.0	28178.0	Nyctalus leisleri	0.411	0.574	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
64.4725	64.4883	22890.0	27665.0	Nyctalus leisleri	0.591	0.686	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
65.0205	65.0361	22031.0	26758.0	Nyctalus leisleri	0.277	0.51	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
65.8895	65.9039	22890.0	27123.0	Nyctalus leisleri	0.511	0.584	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
66.0295	66.0458	22890.0	25918.0	Nyctalus leisleri	0.492	0.56	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
71.7315	71.7477	22890.0	26818.0	Nyctalus leisleri	0.409	0.525	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
72.7535	72.768	23750.0	28010.0	Nyctalus leisleri	0.45	0.564	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
73.2755	73.2909	23750.0	29385.0	Nyctalus leisleri	0.374	0.58	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
73.6575	73.6729	22890.0	26924.0	Nyctalus leisleri	0.506	0.604	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
73.9155	73.9318	23750.0	28101.0	Nyctalus leisleri	0.401	0.573	-1	Echolocation	/mnt/ubna_data_02/recover-20220908/UBNA_004/20220907_063000.WAV	Carp Pond	recover-20220908	4
