Unnamed: 0	start_time	end_time	low_freq	high_freq	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
0	859.2105	859.2255	23750.0	28120.0	Nyctalus leisleri	0.545	0.638	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
0	859.2105	859.2255	23750.0	28120.0	Nyctalus leisleri	0.545	0.638	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
1	861.8675	861.883	22890.0	27158.0	Nyctalus leisleri	0.403	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
1	861.8675	861.883	22890.0	27158.0	Nyctalus leisleri	0.403	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
2	1067.0045	1067.0235	22031.0	26344.0	Nyctalus leisleri	0.397	0.501	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
2	1067.0045	1067.0235	22031.0	26344.0	Nyctalus leisleri	0.397	0.501	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
3	1068.4515	1068.4644	23750.0	28902.0	Nyctalus leisleri	0.389	0.586	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
3	1068.4515	1068.4644	23750.0	28902.0	Nyctalus leisleri	0.389	0.586	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
4	1082.2945	1082.3088	23750.0	28156.0	Nyctalus leisleri	0.416	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
4	1082.2945	1082.3088	23750.0	28156.0	Nyctalus leisleri	0.416	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11
