Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
37.4735	37.4937	22031.0	26304.0	Nyctalus leisleri	0.453	0.518	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
50.0915	50.099	41796.0	50310.0	Pipistrellus nathusii	0.537	0.58	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
50.8205	50.8285	40937.0	47753.0	Pipistrellus nathusii	0.524	0.568	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
50.9285	50.9343	41796.0	48661.0	Pipistrellus nathusii	0.5	0.543	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
51.0295	51.0368	41796.0	49337.0	Pipistrellus nathusii	0.519	0.595	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
51.2275	51.2341	40937.0	50857.0	Pipistrellus nathusii	0.533	0.599	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
51.4295	51.4361	40078.0	49143.0	Pipistrellus nathusii	0.473	0.547	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
51.5905	51.5992	40078.0	47346.0	Pipistrellus nathusii	0.488	0.548	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
51.7875	51.7948	40078.0	46367.0	Pipistrellus nathusii	0.472	0.526	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
51.8865	51.8946	39218.0	54435.0	Pipistrellus nathusii	0.524	0.609	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
51.9945	52.002	39218.0	49979.0	Pipistrellus nathusii	0.453	0.535	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
54.8975	54.9042	26328.0	36248.0	Eptesicus serotinus	0.366	0.519	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
56.0155	56.023700000000005	41796.0	51543.0	Pipistrellus nathusii	0.436	0.571	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
57.8865	57.8964	37500.0	48330.0	Pipistrellus nathusii	0.466	0.554	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
70.7515	70.7587	48671.0	60783.0	Pipistrellus pipistrellus	0.513	0.55	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
70.8515	70.8601	47812.0	64381.0	Pipistrellus pipistrellus	0.453	0.65	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
71.0715	71.0805	47812.0	65215.0	Pipistrellus pipistrellus	0.496	0.648	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
71.1795	71.1904	47812.0	60719.0	Pipistrellus pipistrellus	0.424	0.504	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
71.3815	71.3901	46953.0	65327.0	Pipistrellus pipistrellus	0.502	0.681	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
71.5015	71.5112	46953.0	66045.0	Pipistrellus pipistrellus	0.426	0.605	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
71.6825	71.6921	48671.0	64314.0	Pipistrellus pipistrellus	0.441	0.639	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
71.8615	71.8714	49531.0	62425.0	Pipistrellus pipistrellus	0.383	0.576	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
71.9335	71.9443	46953.0	67543.0	Pipistrellus pipistrellus	0.451	0.582	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.0285	72.0381	47812.0	67566.0	Pipistrellus pipistrellus	0.446	0.654	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.1345	72.1438	46093.0	69013.0	Pipistrellus pipistrellus	0.425	0.591	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.2415	72.2519	46093.0	67051.0	Pipistrellus pipistrellus	0.352	0.523	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.4525	72.464	46953.0	68406.0	Pipistrellus pipistrellus	0.4	0.518	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.5525	72.5628	46093.0	69185.0	Pipistrellus pipistrellus	0.513	0.644	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.6195	72.6263	46953.0	70986.0	Pipistrellus pipistrellus	0.557	0.665	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.6895	72.69630000000001	46093.0	65819.0	Pipistrellus pipistrellus	0.503	0.586	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.7775	72.7876	46093.0	68187.0	Pipistrellus pipistrellus	0.469	0.626	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.8735	72.8806	46093.0	65229.0	Pipistrellus pipistrellus	0.449	0.558	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
72.9715	72.9794	45234.0	69522.0	Pipistrellus pipistrellus	0.416	0.621	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
73.1885	73.1974	45234.0	65645.0	Pipistrellus pipistrellus	0.409	0.601	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
73.4045	73.41290000000001	47812.0	63712.0	Pipistrellus pipistrellus	0.488	0.66	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
73.6225	73.6284	46953.0	59795.0	Pipistrellus pipistrellus	0.493	0.577	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
73.8185	73.8254	46953.0	61368.0	Pipistrellus pipistrellus	0.393	0.515	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
74.0985	74.1051	48671.0	58227.0	Pipistrellus pipistrellus	0.495	0.561	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
104.4785	104.4984	22890.0	25710.0	Nyctalus leisleri	0.474	0.503	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_008/20220728_100000.WAV	Central Pond	recover-20220728	UBNA_008
