Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
3.7905	3.7957	44375.0	54186.0	Pipistrellus pipistrellus	0.539	0.604	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
3.8815	3.8872	45234.0	55512.0	Pipistrellus pipistrellus	0.604	0.644	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
13.0515	13.0568	44375.0	56909.0	Pipistrellus pipistrellus	0.495	0.559	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
13.5275	13.5327	44375.0	59446.0	Pipistrellus pipistrellus	0.396	0.525	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
13.7075	13.7135	46093.0	53526.0	Pipistrellus pipistrellus	0.524	0.548	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
13.8975	13.9035	46093.0	57131.0	Pipistrellus pipistrellus	0.575	0.602	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
13.9845	13.9918	44375.0	61949.0	Pipistrellus pipistrellus	0.299	0.524	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
14.0615	14.0678	45234.0	56320.0	Pipistrellus pipistrellus	0.463	0.502	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
14.1375	14.1432	45234.0	59813.0	Pipistrellus pipistrellus	0.541	0.659	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
14.3015	14.3097	46093.0	61099.0	Pipistrellus pipistrellus	0.497	0.589	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
14.3695	14.3758	46093.0	56810.0	Pipistrellus pipistrellus	0.515	0.55	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
14.5135	14.5192	46093.0	56072.0	Pipistrellus pipistrellus	0.507	0.534	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
14.5875	14.592	44375.0	59547.0	Pipistrellus pipistrellus	0.499	0.574	-1	Echolocation	/mnt/ubna_data_01/recover-20220630_unit2/20220629_083000.WAV	Foliage	recover-20220630_unit2	10
