Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
23.5855	23.5933	38359.0	45982.0	Pipistrellus nathusii	0.621	0.647	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
23.8695	23.8795	37500.0	45365.0	Pipistrellus nathusii	0.47	0.509	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
24.8895	24.8993	38359.0	44978.0	Pipistrellus nathusii	0.511	0.555	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
25.1775	25.1878	39218.0	47013.0	Pipistrellus nathusii	0.422	0.508	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
25.2745	25.2843	38359.0	46863.0	Pipistrellus nathusii	0.569	0.619	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
25.6795	25.689	38359.0	45403.0	Pipistrellus nathusii	0.41	0.515	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
26.1405	26.1497	38359.0	44765.0	Pipistrellus nathusii	0.466	0.551	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
26.2345	26.2413	37500.0	45390.0	Pipistrellus nathusii	0.457	0.506	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
26.4125	26.4219	38359.0	45452.0	Pipistrellus nathusii	0.452	0.521	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
26.5065	26.5171	37500.0	45348.0	Pipistrellus nathusii	0.495	0.544	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
55.1865	55.1981	26328.0	32734.0	Nyctalus leisleri	0.359	0.656	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
57.1685	57.1787	27187.0	34273.0	Nyctalus leisleri	0.404	0.657	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
73.4945	73.5139	25468.0	28667.0	Nyctalus leisleri	0.492	0.558	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
75.0485	75.0651	25468.0	30330.0	Nyctalus leisleri	0.378	0.532	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
78.9635	78.98089999999999	25468.0	29831.0	Nyctalus leisleri	0.445	0.531	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
85.8055	85.8185	26328.0	31200.0	Nyctalus leisleri	0.348	0.547	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
86.2685	86.2838	26328.0	32006.0	Nyctalus leisleri	0.252	0.58	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
86.8895	86.9008	26328.0	32257.0	Nyctalus leisleri	0.48	0.669	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
93.7895	93.8065	25468.0	28161.0	Nyctalus leisleri	0.607	0.675	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
94.8715	94.8863	26328.0	30490.0	Nyctalus leisleri	0.487	0.626	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
95.5945	95.6078	26328.0	32119.0	Nyctalus leisleri	0.393	0.655	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
95.7385	95.753	26328.0	31058.0	Nyctalus leisleri	0.449	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
95.9745	95.9876	26328.0	34481.0	Eptesicus serotinus	0.286	0.624	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
96.4425	96.4576	26328.0	30800.0	Nyctalus leisleri	0.383	0.521	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
207.8435	207.8609	24609.0	29020.0	Nyctalus leisleri	0.371	0.534	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
213.6125	213.6245	25468.0	30520.0	Nyctalus leisleri	0.278	0.52	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
426.5685	426.5844	26328.0	28975.0	Nyctalus leisleri	0.414	0.503	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
427.4135	427.4318	25468.0	29426.0	Nyctalus leisleri	0.331	0.521	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
430.3035	430.3241	24609.0	28381.0	Nyctalus leisleri	0.423	0.514	-1	Echolocation	/mnt/ubna_data_01/recover-20220804/UBNA_003/20220804_080000.WAV	Central Pond	recover-20220804	UBNA_003
