Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
13.8265	13.8384	26328.0	32671.0	Nyctalus leisleri	0.302	0.564	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
25.5775	25.5919	26328.0	29285.0	Nyctalus leisleri	0.573	0.635	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
25.8375	25.8578	26328.0	28778.0	Nyctalus leisleri	0.543	0.582	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
26.3125	26.3299	26328.0	28948.0	Nyctalus leisleri	0.602	0.661	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
26.8035	26.8194	25468.0	29737.0	Nyctalus leisleri	0.527	0.597	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
26.9035	26.9195	26328.0	29216.0	Nyctalus leisleri	0.468	0.54	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
27.2715	27.2902	26328.0	29223.0	Nyctalus leisleri	0.447	0.502	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
27.9845	28.0005	25468.0	29311.0	Nyctalus leisleri	0.455	0.528	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
28.3425	28.3628	25468.0	28384.0	Nyctalus leisleri	0.473	0.51	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
28.7055	28.7194	25468.0	29709.0	Nyctalus leisleri	0.551	0.601	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
29.0465	29.0637	25468.0	28281.0	Nyctalus leisleri	0.488	0.523	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
29.4115	29.4311	25468.0	29278.0	Nyctalus leisleri	0.452	0.536	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
29.5555	29.5692	28906.0	33505.0	Nyctalus leisleri	0.364	0.505	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
29.7555	29.7733	25468.0	29417.0	Nyctalus leisleri	0.586	0.632	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
29.8845	29.9021	25468.0	28909.0	Nyctalus leisleri	0.615	0.663	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
30.4845	30.5001	25468.0	29442.0	Nyctalus leisleri	0.511	0.562	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
31.0785	31.0923	25468.0	28215.0	Nyctalus leisleri	0.503	0.535	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
32.0495	32.0683	25468.0	27763.0	Nyctalus leisleri	0.542	0.574	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
32.6365	32.6558	25468.0	28428.0	Nyctalus leisleri	0.467	0.523	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
33.0825	33.0971	27187.0	31809.0	Nyctalus leisleri	0.422	0.531	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
33.2165	33.231	27187.0	34313.0	Nyctalus leisleri	0.314	0.592	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
33.7045	33.7229	25468.0	28173.0	Nyctalus leisleri	0.573	0.627	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
34.3975	34.413	26328.0	30900.0	Nyctalus leisleri	0.403	0.535	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
34.6025	34.617	27187.0	31824.0	Nyctalus leisleri	0.348	0.596	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
34.7905	34.808	27187.0	30491.0	Nyctalus leisleri	0.4	0.501	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
35.0755	35.0932	27187.0	30166.0	Nyctalus leisleri	0.569	0.626	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
35.4485	35.4651	26328.0	29776.0	Nyctalus leisleri	0.529	0.589	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
36.6165	36.6335	26328.0	28372.0	Nyctalus leisleri	0.705	0.74	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
37.3305	37.3491	26328.0	29331.0	Nyctalus leisleri	0.553	0.597	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
37.6625	37.6804	26328.0	29850.0	Nyctalus leisleri	0.493	0.558	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
37.8795	37.8953	26328.0	30013.0	Nyctalus leisleri	0.55	0.595	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
38.1065	38.1234	26328.0	28698.0	Nyctalus leisleri	0.57	0.613	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
38.3375	38.3534	25468.0	29903.0	Nyctalus leisleri	0.409	0.532	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
38.9005	38.9189	26328.0	28892.0	Nyctalus leisleri	0.554	0.601	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
39.0315	39.0438	27187.0	34230.0	Nyctalus leisleri	0.411	0.664	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
39.7485	39.7608	27187.0	33797.0	Nyctalus leisleri	0.523	0.709	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
40.3365	40.3553	25468.0	28741.0	Nyctalus leisleri	0.473	0.546	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
41.0595	41.0799	25468.0	27857.0	Nyctalus leisleri	0.5	0.541	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
42.1385	42.1562	25468.0	29702.0	Nyctalus leisleri	0.444	0.512	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
42.7415	42.7604	26328.0	28602.0	Nyctalus leisleri	0.47	0.52	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
44.1925	44.2075	26328.0	30666.0	Nyctalus leisleri	0.381	0.511	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
44.5635	44.5776	26328.0	30564.0	Nyctalus leisleri	0.618	0.697	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
45.7735	45.7899	26328.0	29532.0	Nyctalus leisleri	0.423	0.563	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
47.2425	47.2567	26328.0	29873.0	Nyctalus leisleri	0.46	0.584	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
49.2975	49.3116	27187.0	31522.0	Nyctalus leisleri	0.387	0.531	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
53.1205	53.1331	26328.0	30572.0	Nyctalus leisleri	0.475	0.587	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
58.5085	58.527	26328.0	29460.0	Nyctalus leisleri	0.446	0.532	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
61.8985	61.9149	26328.0	30434.0	Nyctalus leisleri	0.38	0.554	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
62.4195	62.4363	26328.0	30068.0	Nyctalus leisleri	0.377	0.546	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
63.3215	63.3359	25468.0	29190.0	Nyctalus leisleri	0.437	0.552	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
65.1945	65.2145	25468.0	29453.0	Nyctalus leisleri	0.471	0.516	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
65.4515	65.46940000000001	26328.0	29391.0	Nyctalus leisleri	0.541	0.59	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
65.9715	65.9869	25468.0	30374.0	Nyctalus leisleri	0.46	0.596	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
66.4765	66.4963	25468.0	29190.0	Nyctalus leisleri	0.486	0.559	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
67.5295	67.5477	25468.0	29073.0	Nyctalus leisleri	0.362	0.529	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
68.6165	68.6323	25468.0	30290.0	Nyctalus leisleri	0.417	0.573	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
69.1115	69.1312	25468.0	29419.0	Nyctalus leisleri	0.411	0.527	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
70.0955	70.1154	25468.0	28606.0	Nyctalus leisleri	0.414	0.543	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
71.3325	71.3506	25468.0	29406.0	Nyctalus leisleri	0.398	0.533	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
77.9465	77.96379999999999	26328.0	30447.0	Nyctalus leisleri	0.39	0.515	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
90.4375	90.4466	27187.0	34660.0	Eptesicus serotinus	0.277	0.536	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
103.6015	103.6153	27187.0	31766.0	Nyctalus leisleri	0.418	0.588	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
103.7405	103.7514	28046.0	33826.0	Nyctalus leisleri	0.338	0.543	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
106.5755	106.5928	26328.0	28506.0	Nyctalus leisleri	0.548	0.62	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
107.5305	107.547	26328.0	28992.0	Nyctalus leisleri	0.475	0.526	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
110.4585	110.4716	27187.0	32803.0	Nyctalus leisleri	0.275	0.517	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
111.1335	111.1477	27187.0	30288.0	Nyctalus leisleri	0.582	0.665	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
111.7165	111.7325	27187.0	30571.0	Nyctalus leisleri	0.516	0.602	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
112.0645	112.0804	26328.0	29788.0	Nyctalus leisleri	0.591	0.676	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
112.2635	112.2808	26328.0	30695.0	Nyctalus leisleri	0.475	0.575	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
112.6535	112.6676	27187.0	31247.0	Nyctalus leisleri	0.439	0.565	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
114.2105	114.2262	26328.0	29123.0	Nyctalus leisleri	0.576	0.631	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
114.9565	114.9747	26328.0	28201.0	Nyctalus leisleri	0.64	0.671	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
115.6825	115.6945	27187.0	32483.0	Nyctalus leisleri	0.285	0.5	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
116.2805	116.2974	26328.0	29613.0	Nyctalus leisleri	0.539	0.643	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
117.1755	117.1899	27187.0	31741.0	Nyctalus leisleri	0.419	0.64	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
117.5705	117.5858	26328.0	29043.0	Nyctalus leisleri	0.627	0.684	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
117.7915	117.8057	26328.0	29885.0	Nyctalus leisleri	0.433	0.556	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
118.0295	118.0465	26328.0	28961.0	Nyctalus leisleri	0.508	0.584	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
119.4685	119.4842	26328.0	28587.0	Nyctalus leisleri	0.545	0.607	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
119.6755	119.6896	27187.0	30343.0	Nyctalus leisleri	0.471	0.597	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
120.7615	120.7766	27187.0	30706.0	Nyctalus leisleri	0.463	0.596	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
120.9585	120.9768	26328.0	29630.0	Nyctalus leisleri	0.521	0.617	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
121.1105	121.1255	27187.0	30409.0	Nyctalus leisleri	0.524	0.608	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
121.2905	121.305	26328.0	31164.0	Nyctalus leisleri	0.42	0.654	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
121.6295	121.6426	27187.0	35054.0	Eptesicus serotinus	0.281	0.662	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
121.7995	121.8124	27187.0	31807.0	Nyctalus leisleri	0.472	0.691	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
121.9095	121.921	28906.0	33746.0	Nyctalus leisleri	0.346	0.518	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
122.0825	122.0898	26328.0	36950.0	Eptesicus serotinus	0.405	0.552	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
122.5195	122.5363	27187.0	30233.0	Nyctalus leisleri	0.593	0.622	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
122.7355	122.7522	26328.0	29744.0	Nyctalus leisleri	0.617	0.671	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
124.0965	124.1114	26328.0	29466.0	Nyctalus leisleri	0.46	0.552	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
125.5375	125.5565	26328.0	27879.0	Nyctalus leisleri	0.504	0.538	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
125.7045	125.7188	27187.0	33001.0	Nyctalus leisleri	0.247	0.607	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
125.9615	125.9772	27187.0	29999.0	Nyctalus leisleri	0.444	0.523	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
126.1875	126.2045	26328.0	29881.0	Nyctalus leisleri	0.524	0.589	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
126.3125	126.3254	28046.0	33758.0	Nyctalus leisleri	0.449	0.651	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
126.8275	126.845	25468.0	29134.0	Nyctalus leisleri	0.644	0.694	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
127.0575	127.0694	27187.0	33917.0	Nyctalus leisleri	0.437	0.679	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
127.1595	127.1717	24609.0	29923.0	Nyctalus leisleri	0.334	0.556	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
127.2945	127.3073	26328.0	30416.0	Nyctalus leisleri	0.517	0.584	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
127.4425	127.4575	25468.0	29812.0	Nyctalus leisleri	0.393	0.592	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
127.5475	127.5629	26328.0	29315.0	Nyctalus leisleri	0.672	0.742	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
127.6675	127.6833	24609.0	29860.0	Nyctalus leisleri	0.435	0.591	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
127.7485	127.7623	27187.0	31917.0	Nyctalus leisleri	0.411	0.648	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
127.8935	127.9051	28046.0	35688.0	Nyctalus leisleri	0.274	0.662	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
128.0245	128.0347	28046.0	34287.0	Nyctalus leisleri	0.545	0.693	-1	Echolocation	/mnt/ubna_data_01/recover-20220722/UBNA_013/20220722_110000.WAV	Carp Pond		
