Unnamed: 0	start_time	end_time	low_freq	high_freq	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
0	574.7975	574.8081	34921.0	46922.0	Pipistrellus nathusii	0.335	0.508	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
0	574.7975	574.8081	34921.0	46922.0	Pipistrellus nathusii	0.335	0.508	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
1	575.1075	575.1157	35781.0	43307.0	Pipistrellus nathusii	0.454	0.573	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
1	575.1075	575.1157	35781.0	43307.0	Pipistrellus nathusii	0.454	0.573	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
2	575.4245	575.4353	34921.0	43913.0	Pipistrellus nathusii	0.346	0.546	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
2	575.4245	575.4353	34921.0	43913.0	Pipistrellus nathusii	0.346	0.546	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
3	576.2345	576.2447	35781.0	42143.0	Pipistrellus nathusii	0.338	0.501	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
3	576.2345	576.2447	35781.0	42143.0	Pipistrellus nathusii	0.338	0.501	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
4	576.5345	576.5447	36640.0	44202.0	Pipistrellus nathusii	0.447	0.514	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
4	576.5345	576.5447	36640.0	44202.0	Pipistrellus nathusii	0.447	0.514	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
5	576.8365	576.8455	37500.0	44704.0	Pipistrellus nathusii	0.572	0.62	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
5	576.8365	576.8455	37500.0	44704.0	Pipistrellus nathusii	0.572	0.62	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
6	577.1355	577.146	34921.0	44920.0	Pipistrellus nathusii	0.504	0.636	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
6	577.1355	577.146	34921.0	44920.0	Pipistrellus nathusii	0.504	0.636	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
7	577.2475	577.2576	34921.0	41246.0	Pipistrellus nathusii	0.462	0.615	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
7	577.2475	577.2576	34921.0	41246.0	Pipistrellus nathusii	0.462	0.615	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
8	577.4425	577.4541	34921.0	43955.0	Pipistrellus nathusii	0.223	0.602	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
8	577.4425	577.4541	34921.0	43955.0	Pipistrellus nathusii	0.223	0.602	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
9	577.5565	577.5658	34921.0	41598.0	Pipistrellus nathusii	0.397	0.602	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
9	577.5565	577.5658	34921.0	41598.0	Pipistrellus nathusii	0.397	0.602	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
10	577.6555	577.667	34921.0	43755.0	Pipistrellus nathusii	0.374	0.509	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
10	577.6555	577.667	34921.0	43755.0	Pipistrellus nathusii	0.374	0.509	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
11	578.2535	578.2629	34062.0	40601.0	Pipistrellus nathusii	0.238	0.534	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
11	578.2535	578.2629	34062.0	40601.0	Pipistrellus nathusii	0.238	0.534	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
12	578.4585	578.468	34921.0	41126.0	Pipistrellus nathusii	0.355	0.541	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
12	578.4585	578.468	34921.0	41126.0	Pipistrellus nathusii	0.355	0.541	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
13	578.7815	578.7922	36640.0	42351.0	Pipistrellus nathusii	0.473	0.535	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
13	578.7815	578.7922	36640.0	42351.0	Pipistrellus nathusii	0.473	0.535	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
14	711.1685	711.1779	46093.0	60434.0	Pipistrellus pipistrellus	0.469	0.544	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
14	711.1685	711.1779	46093.0	60434.0	Pipistrellus pipistrellus	0.469	0.544	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
15	711.3445	711.3559	46093.0	62437.0	Pipistrellus pipistrellus	0.425	0.548	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
15	711.3445	711.3559	46093.0	62437.0	Pipistrellus pipistrellus	0.425	0.548	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
16	711.4435	711.4537	46953.0	62978.0	Pipistrellus pipistrellus	0.446	0.567	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
16	711.4435	711.4537	46953.0	62978.0	Pipistrellus pipistrellus	0.446	0.567	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
17	711.5435	711.5519	46093.0	62289.0	Pipistrellus pipistrellus	0.444	0.564	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
17	711.5435	711.5519	46093.0	62289.0	Pipistrellus pipistrellus	0.444	0.564	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
18	711.6385	711.6461	46093.0	62786.0	Pipistrellus pipistrellus	0.406	0.598	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
18	711.6385	711.6461	46093.0	62786.0	Pipistrellus pipistrellus	0.406	0.598	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
19	711.7295	711.7401	46953.0	64031.0	Pipistrellus pipistrellus	0.43	0.554	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
19	711.7295	711.7401	46953.0	64031.0	Pipistrellus pipistrellus	0.43	0.554	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
20	711.8255	711.8326	46093.0	63061.0	Pipistrellus pipistrellus	0.522	0.625	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
20	711.8255	711.8326	46093.0	63061.0	Pipistrellus pipistrellus	0.522	0.625	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
21	711.9215	711.9284	45234.0	64940.0	Pipistrellus pipistrellus	0.565	0.693	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
21	711.9215	711.9284	45234.0	64940.0	Pipistrellus pipistrellus	0.565	0.693	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
22	712.0095	712.0162	47812.0	65794.0	Pipistrellus pipistrellus	0.588	0.651	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
22	712.0095	712.0162	47812.0	65794.0	Pipistrellus pipistrellus	0.588	0.651	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
23	712.1095	712.1153	45234.0	65814.0	Pipistrellus pipistrellus	0.549	0.626	-1	Echolocation	/mnt/ubna_data_02/recover-20220929/UBNA_003/20220928_040000.WAV	Central Pond	recover-20220929	3
