Unnamed: 0	start_time	end_time	low_freq	high_freq	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
0	0.3065	0.314	40937.0	50346.0	Pipistrellus nathusii	0.432	0.543	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
0	0.3065	0.314	40937.0	50346.0	Pipistrellus nathusii	0.432	0.543	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
1	1.2005	1.2058	41796.0	55607.0	Pipistrellus nathusii	0.445	0.537	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
1	1.2005	1.2058	41796.0	55607.0	Pipistrellus nathusii	0.445	0.537	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
2	1.4335	1.4402	42656.0	56783.0	Pipistrellus nathusii	0.422	0.572	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
2	1.4335	1.4402	42656.0	56783.0	Pipistrellus nathusii	0.422	0.572	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
3	1.6275	1.6352	41796.0	54617.0	Pipistrellus nathusii	0.376	0.568	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
3	1.6275	1.6352	41796.0	54617.0	Pipistrellus nathusii	0.376	0.568	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
4	1.7305	1.7364	41796.0	57076.0	Pipistrellus nathusii	0.429	0.569	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
4	1.7305	1.7364	41796.0	57076.0	Pipistrellus nathusii	0.429	0.569	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
5	1.9765	1.9819	41796.0	55680.0	Pipistrellus nathusii	0.381	0.504	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
5	1.9765	1.9819	41796.0	55680.0	Pipistrellus nathusii	0.381	0.504	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
6	2.1615	2.1681	40937.0	54515.0	Pipistrellus nathusii	0.388	0.592	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
6	2.1615	2.1681	40937.0	54515.0	Pipistrellus nathusii	0.388	0.592	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
7	3.2815	3.2868	41796.0	55687.0	Pipistrellus nathusii	0.395	0.558	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
7	3.2815	3.2868	41796.0	55687.0	Pipistrellus nathusii	0.395	0.558	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
8	3.4985	3.5042	38359.0	55747.0	Pipistrellus nathusii	0.256	0.544	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
8	3.4985	3.5042	38359.0	55747.0	Pipistrellus nathusii	0.256	0.544	-1	Echolocation	/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_050000.WAV	Telephone Field	recover-20220828	UBNA_007
